,World2018,National2018,World2019,National2019,World2020,National2020,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,ground_truth
347,368.0,14.0,353.0,14.0,362,13.0,24,2,2,3,4.0,0,0.43119685462883695,0.3858741854529568,1.3542737777057599,0.5643747878067702,0.3775767159023153,0.5128596362916187,1
348,348.0,14.0,360.0,14.0,364,14.0,6,0,0,3,4.0,0,0.1268191268191268,0.08970438328236492,0.03487179487179488,0.7191919191919194,0.9229989868287742,0.5060606060606062,0
349,501.0,13.0,414.0,12.0,365,9.0,41,0,0,3,4.0,0,0.14449064449064447,0.12945973496432214,0.9384615384615385,0.011111111111111112,0.1458966565349544,0.34040404040404043,0
350,374.0,7.0,355.0,9.0,366,10.0,41,1,3,2,4.0,0,0.06340956340956341,0.24260958205912336,0.998974358974359,0.0010101010101010114,0.1448834853090172,0.5424242424242426,0
351,301.0,60.0,336.0,65.0,367,68.0,55,0,0,3,4.0,0,0.1663201663201663,0.06116207951070336,0.09641025641025641,0.78989898989899,0.44072948328267475,0.17878787878787877,0
352,344.0,13.0,338.0,14.0,368,14.0,8,0,1,3,5.0,0,0.1923076923076923,0.03567787971457696,0.2656410256410256,0.6282828282828284,0.2998986828774063,0.07070707070707072,0
353,377.0,46.0,357.0,44.0,369,43.0,54,0,0,3,4.0,0,0.1715176715176715,0.08664627930682978,0.2061538461538462,0.36060606060606065,0.9817629179331308,0.7424242424242425,0
354,354.0,43.0,356.0,43.0,370,44.0,54,0,0,0,4.0,0,0.1611226611226611,0.07237512742099898,0.10974358974358975,0.4131313131313131,0.9969604863221885,0.9939393939393942,0
355,411.0,2.0,376.0,3.0,371,3.0,53,2,1,0,2.0,1,0.1507276507276507,0.33843017329255864,0.28410256410256407,0.12525252525252525,1.0,1.0,0
356,357.0,13.0,320.0,13.0,372,13.0,31,1,2,3,4.0,0,0.1164241164241164,0.22629969418960247,0.10153846153846155,0.6212121212121213,0.8399189463019251,0.3808080808080809,0
357,387.0,72.0,368.0,71.0,373,69.0,55,0,1,3,5.0,0,0.11954261954261952,0.1396534148827727,0.8205128205128205,0.17676767676767677,0.13576494427558256,0.13232323232323231,0
358,384.0,5.0,379.0,5.0,374,5.0,11,0,2,3,4.0,0,0.30574353056101167,0.31281658809278484,0.5282106130280941,0.4597723845898658,0.8771436657909342,0.4678531926706738,1
359,418.0,6.0,378.0,6.0,375,5.0,13,1,1,3,4.0,0,0.12889812889812888,0.19673802242609584,0.4358974358974359,0.4414141414141415,0.4235055724417427,0.08282828282828283,0
360,361.0,44.0,364.0,45.0,377,45.0,54,0,0,0,3.0,0,0.6971748914867288,1.0289558608823772,0.5924624867743241,0.5894321837440211,1.0710845739070498,1.1773109716228092,1
361,367.0,21.0,369.0,20.0,378,20.0,1,0,1,0,3.0,0,0.1164241164241164,0.10091743119266056,0.07282051282051283,0.5565656565656567,0.9392097264437691,0.7767676767676769,0
362,427.0,80.0,374.0,72.0,379,70.0,55,0,1,3,5.0,0,0.12577962577962576,0.07441386340468908,0.12820512820512822,0.694949494949495,0.6494427558257346,0.2676767676767677,0
363,454.0,1.0,452.0,1.0,380,1.0,34,1,1,0,3.0,0,0.08627858627858626,0.13149847094801226,0.7384615384615384,0.10303030303030304,1.0,0.06666666666666668,0
364,400.0,10.0,362.0,8.0,381,8.0,49,1,2,3,4.0,1,0.06029106029106029,0.10601427115188584,0.8666666666666667,0.20808080808080812,0.21073961499493415,0.17979797979797982,0
365,303.0,12.0,348.0,13.0,382,11.0,14,3,1,0,2.0,0,0.42099792099792094,0.0489296636085627,0.05846153846153846,0.22626262626262625,0.38703140830800403,0.42121212121212126,0
366,365.0,69.0,346.0,68.0,385,71.0,55,1,0,3,5.0,1,0.06548856548856546,0.0672782874617737,0.28410256410256407,0.6575757575757576,0.3738601823708207,0.5141414141414142,0
367,424.0,22.0,389.0,21.0,386,21.0,1,0,0,3,3.0,0,-0.08950339392998427,-0.012106660569948136,-0.02429202871861902,0.17508637065978036,0.7841250860814745,0.7124601080335179,1
368,440.0,5.0,421.0,5.0,387,3.0,0,1,2,2,3.0,1,0.06237006237006237,0.07849133537206932,0.842051282051282,0.0020202020202020193,0.342451874366768,0.9747474747474749,0
369,386.0,10.0,373.0,10.0,388,11.0,41,1,2,3,5.0,0,0.05405405405405405,0.12945973496432214,0.88,0.03838383838383838,0.1225937183383992,0.8484848484848486,0
370,544.0,1.0,445.0,1.0,389,1.0,28,1,2,3,3.0,0,0.0769230769230769,0.045871559633027525,0.2235897435897436,0.43333333333333335,1.0,0.9616161616161618,0
371,448.0,10.0,427.0,10.0,390,7.0,23,0,0,3,4.0,0,0.22349272349272348,0.09989806320081548,0.14051282051282052,0.6030303030303031,0.29685916919959476,0.05757575757575758,0
