,Name,Position1,Position2,Age,Matches,Starts,Mins,Goals,Assists
206,Mathew Ryan,GK,GK,28,3,3,270,0,0
207,Joe Willock,MF,MF,20,7,2,238,0,0
208,Sead Kolašinac,DF,DF,27,1,1,90,0,0
209,Reiss Nelson,FW,FW,20,2,0,71,0,0
210,Shkodran Mustafi,DF,DF,28,3,0,47,0,0
211,Rúnar Alex Rúnarsson,GK,GK,25,1,0,16,0,0
212,Stuart Dallas,DF,MF,29,38,38,3409,8,2
213,Luke Ayling,DF,DF,28,38,38,3399,0,0
214,Patrick Bamford,FW,FW,26,38,37,3050,17,7
215,Illan Meslier,GK,GK,20,35,35,3150,0,0
216,Jack Harrison,MF,MF,23,36,34,2847,8,8
217,Ezgjan Alioski,DF,DF,28,36,29,2461,2,3
218,Kalvin Phillips,MF,MF,24,29,28,2428,1,2
219,Mateusz Klich,MF,MF,30,35,28,2393,4,5
220,Raphael Dias Belloli,MF,MF,23,30,26,2360,6,9
221,Liam Cooper,DF,DF,28,25,25,2185,1,0
222,Pascal Struijk,DF,MF,20,27,22,2075,1,0
223,Tyler Roberts,MF,FW,21,27,14,1340,1,2
224,Rodrigo,MF,FW,29,26,14,1288,7,2
225,Diego Llorente,DF,DF,26,15,14,1204,1,0
226,Hélder Costa,MF,FW,26,22,13,1156,3,3
227,Robin Koch,DF,MF,24,17,13,1132,0,0
228,Jamie Shackleton,MF,DF,20,13,3,461,0,0
229,Pablo Hernández,MF,MF,35,16,3,427,0,2
230,Kiko Casilla,GK,GK,33,3,3,270,0,0
231,Gaetano Berardi,DF,DF,31,2,1,113,0,0
232,Ian Carlo Poveda,MF,DF,20,14,0,355,0,0
233,Niall Huggins,DF,DF,19,1,0,38,0,0
234,Leif Davis,DF,DF,20,2,0,33,0,0
235,Michael Keane,DF,DF,27,35,33,2991,3,1
236,Richarlison,FW,FW,23,34,33,2861,7,3
237,Dominic Calvert-Lewin,FW,FW,23,33,32,2871,16,0
238,Jordan Pickford,GK,GK,26,31,31,2742,0,0
239,Lucas Digne,DF,DF,27,30,30,2681,0,7
240,Ben Godfrey,DF,DF,22,31,29,2685,0,2
